step_id,run_id,parent_step_id,name,type,status,started_at,ended_at,duration_ms,tokens_prompt,tokens_completion,cost_usd,input,output,error_message,error_code,error_stack
e2d2f74d-f7b2-4782-8a34-38b40827489c,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,,Flight Booking Agent,plan,completed,2026-01-23T14:09:27.051058+00:00,2026-01-23T14:09:27.212058+00:00,161,103,69,0.000241,"{""task"": ""Flight Booking Agent""}","{""result"": ""Flight Booking Agent completed""}",,,
eab55b3a-74ce-455a-b036-1164457735fb,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,e2d2f74d-f7b2-4782-8a34-38b40827489c,Search Flights,tool,completed,2026-01-23T14:09:27.212058+00:00,2026-01-23T14:09:28.142058+00:00,930,0,0,0.0,"{""task"": ""Search Flights""}","{""result"": ""Search Flights completed""}",,,
34a35980-5f8b-4a90-8b9a-258dbafdfa4f,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,eab55b3a-74ce-455a-b036-1164457735fb,Analyze Flight Options,llm,completed,2026-01-23T14:09:28.142058+00:00,2026-01-23T14:09:29.067058+00:00,925,553,214,0.000981,"{""task"": ""Analyze Flight Options""}","{""result"": ""Analyze Flight Options completed""}",,,
d4ca0ddb-df8c-44a7-bff6-aec5565cca4a,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,34a35980-5f8b-4a90-8b9a-258dbafdfa4f,Book Selected Flight,tool,completed,2026-01-23T14:09:29.067058+00:00,2026-01-23T14:09:29.633058+00:00,566,0,0,0.0,"{""task"": ""Book Selected Flight""}","{""result"": ""Book Selected Flight completed""}",,,
ad735928-65cb-4ec3-a8be-50640f876c29,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,d4ca0ddb-df8c-44a7-bff6-aec5565cca4a,Process Payment,tool,completed,2026-01-23T14:09:29.633058+00:00,2026-01-23T14:09:31.283058+00:00,1650,0,0,0.0,"{""task"": ""Process Payment""}","{""result"": ""Process Payment completed""}",,,
64bf9823-da26-4a42-a3c0-67b2e0b00ff8,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,ad735928-65cb-4ec3-a8be-50640f876c29,Retry Payment,tool,completed,2026-01-23T14:09:31.283058+00:00,2026-01-23T14:09:32.372058+00:00,1089,0,0,0.0,"{""task"": ""Retry Payment""}","{""result"": ""Retry Payment completed""}",,,
834ddc2b-176d-444e-8ddd-226d8136cf05,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,64bf9823-da26-4a42-a3c0-67b2e0b00ff8,Generate Confirmation,llm,completed,2026-01-23T14:09:32.372058+00:00,2026-01-23T14:09:32.959058+00:00,587,394,229,0.000852,"{""task"": ""Generate Confirmation""}","{""result"": ""Generate Confirmation completed""}",,,
a89c60dc-7719-432b-a970-4b7503c5d2d1,a5ce43ee-fc1b-4e8e-a6c4-19da35662608,834ddc2b-176d-444e-8ddd-226d8136cf05,Final Output,final,completed,2026-01-23T14:09:32.959058+00:00,2026-01-23T14:09:33.020058+00:00,61,87,42,0.000171,"{""task"": ""Final Output""}","{""result"": ""Final Output completed""}",,,
23244e9b-8821-48cd-8098-f3bbf2d24ff4,ed31ef81-318c-41cc-9d48-4008ccc1185d,,Research Summarizer Agent,plan,completed,2026-01-24T19:54:30.051058+00:00,2026-01-24T19:54:30.278058+00:00,227,259,135,0.01587,"{""task"": ""Research Summarizer Agent""}","{""result"": ""Research Summarizer Agent completed""}",,,
8584f976-6256-41e5-bbda-92e6a7c8846c,ed31ef81-318c-41cc-9d48-4008ccc1185d,23244e9b-8821-48cd-8098-f3bbf2d24ff4,Web Search: Overview,tool,completed,2026-01-24T19:54:30.278058+00:00,2026-01-24T19:54:31.595058+00:00,1317,0,0,0.0,"{""task"": ""Web Search: Overview""}","{""result"": ""Web Search: Overview completed""}",,,
eacb2647-5e2d-4a8a-a477-b994e60bb4fe,ed31ef81-318c-41cc-9d48-4008ccc1185d,8584f976-6256-41e5-bbda-92e6a7c8846c,Extract Key Facts,llm,completed,2026-01-24T19:54:31.595058+00:00,2026-01-24T19:54:32.804058+00:00,1209,1412,481,0.07122,"{""task"": ""Extract Key Facts""}","{""result"": ""Extract Key Facts completed""}",,,
d471ff05-5d1f-4c95-8635-dbe745214285,ed31ef81-318c-41cc-9d48-4008ccc1185d,23244e9b-8821-48cd-8098-f3bbf2d24ff4,Web Search: Papers,tool,completed,2026-01-24T19:54:32.804058+00:00,2026-01-24T19:54:34.756058+00:00,1952,0,0,0.0,"{""task"": ""Web Search: Papers""}","{""result"": ""Web Search: Papers completed""}",,,
2e973fa9-ef26-4e6b-80e0-c33c34ffb7fc,ed31ef81-318c-41cc-9d48-4008ccc1185d,d471ff05-5d1f-4c95-8635-dbe745214285,Extract Paper Highlights,llm,completed,2026-01-24T19:54:34.756058+00:00,2026-01-24T19:54:36.184058+00:00,1428,1986,822,0.1089,"{""task"": ""Extract Paper Highlights""}","{""result"": ""Extract Paper Highlights completed""}",,,
1fc952f1-1e57-4a6d-ae22-60d28441ff98,ed31ef81-318c-41cc-9d48-4008ccc1185d,23244e9b-8821-48cd-8098-f3bbf2d24ff4,Web Search: Industry,tool,completed,2026-01-24T19:54:36.184058+00:00,2026-01-24T19:54:38.222058+00:00,2038,0,0,0.0,"{""task"": ""Web Search: Industry""}","{""result"": ""Web Search: Industry completed""}",,,
240409a7-9201-4250-9c26-b13863004706,ed31ef81-318c-41cc-9d48-4008ccc1185d,1fc952f1-1e57-4a6d-ae22-60d28441ff98,Synthesize Findings,llm,completed,2026-01-24T19:54:38.222058+00:00,2026-01-24T19:54:40.454058+00:00,2232,2405,1226,0.14571,"{""task"": ""Synthesize Findings""}","{""result"": ""Synthesize Findings completed""}",,,
f83d2344-8752-4a29-ac0d-5f7aba9bb624,ed31ef81-318c-41cc-9d48-4008ccc1185d,240409a7-9201-4250-9c26-b13863004706,Write Final Summary,llm,completed,2026-01-24T19:54:40.454058+00:00,2026-01-24T19:54:43.527058+00:00,3073,1745,1343,0.13293,"{""task"": ""Write Final Summary""}","{""result"": ""Write Final Summary completed""}",,,
56b70803-5915-4c0b-a2b8-bfebf0379fd8,ed31ef81-318c-41cc-9d48-4008ccc1185d,f83d2344-8752-4a29-ac0d-5f7aba9bb624,Final Output,final,completed,2026-01-24T19:54:43.527058+00:00,2026-01-24T19:54:43.597058+00:00,70,53,35,0.00369,"{""task"": ""Final Output""}","{""result"": ""Final Output completed""}",,,
b90df25c-b31a-461a-9fee-3a4c14bed548,1352aea9-bb78-4ff4-ad8b-1853a1214329,,Customer Support Agent,plan,completed,2026-01-23T03:27:00.051058+00:00,2026-01-23T03:27:00.204058+00:00,153,134,68,0.00027,"{""task"": ""Customer Support Agent""}","{""result"": ""Customer Support Agent completed""}",,,
5041efc6-e852-44ff-9005-5c43166772e4,1352aea9-bb78-4ff4-ad8b-1853a1214329,b90df25c-b31a-461a-9fee-3a4c14bed548,Classify Intent,llm,completed,2026-01-23T03:27:00.204058+00:00,2026-01-23T03:27:00.685058+00:00,481,369,79,0.000527,"{""task"": ""Classify Intent""}","{""result"": ""Classify Intent completed""}",,,
ff018439-ffad-4572-b756-571ab5cfe91e,1352aea9-bb78-4ff4-ad8b-1853a1214329,5041efc6-e852-44ff-9005-5c43166772e4,Retrieve KB Articles,tool,completed,2026-01-23T03:27:00.685058+00:00,2026-01-23T03:27:01.086058+00:00,401,0,0,0.0,"{""task"": ""Retrieve KB Articles""}","{""result"": ""Retrieve KB Articles completed""}",,,
